"Date of Download: 2019-07-25_10:52:01"
"Search Parameters: metadata"

"studyDbId","studyName","studyDescription","trialType","breedingProgramDbId","breedingProgramName","breedingProgramDescription","studyYear","studyDesign","locationDbId","locationName","plantingDate","harvestDate","plotWidth","plotLength","plantsPerPlot","numberBlocks","numberReps","fieldSize","fieldTrialIsPlannedToBeGenotyped","fieldTrialIsPlannedToCross","folderDbId","folderName","folderDescription","managementFactors"
"552","12CET500TP1umu","Training Population 1 trial established at Umudike in 2012/2013 planting season.","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2012","Alpha","12","Umudike","2012-September-10","2013-September-09","1","5","","19","3","1.5","","","2871","2012_Umudike",""," No ManagementFactor: "
"160","12CETearlyBulkingDrtkano","evaluation of early bulking in drought prone ecology, Kano 2012","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2012","Alpha","18","Kano","2011-May-15","2012-May-14","4","5","","11","3","0.12","","","3845","2012_kano",""," No ManagementFactor: "
"1628","12PYT36genpyramOtobi","Gene Pyramiding trial established at Otobi in 2012/2013 planting season.","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2012","Alpha","16","Otobi","2012-July-30","2013-August-30","4","5","","11","3","0.68","","","3846","2012_Otobi",""," No ManagementFactor: "
"1629","12PYT75genpyramUM","Gene pyramiding trial established at Umudike in 2012/2013 planting season.","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2012","Alpha","12","Umudike","2012-July-16","2013-August-21","4","5","","25","3","0.45","","","2871","2012_Umudike",""," No ManagementFactor: "
"604","13AYT12yrtOtobi","Advanced Yield Trial carried out at Otobi in 2013","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","16","Otobi","2013-September-05","2014-August-13","6","6","","1","3","0.4","","","5351","2013_14",""," No ManagementFactor: "
"1623","13AYT259mpopdOtobi","AYT Mapping Population D established at Otobi in 2013/2014 planting season.","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","16","Otobi","2013-July-19","2014-July-21","4","5","","26","2","1.3","","","3848","2013_Otobi",""," No ManagementFactor: "
"1603","13AYT25umu","Advance Yield Trial established at Umudike in 2013 for NR11 series.","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-August-14","2014-October-09","6","6","","12","3","0.8","","","2879","2013_Umudike",""," No ManagementFactor: "
"1625","13AYT35gpOtobii","Gene pyramiding trial established at Otobi in 2013/2014 planting season.","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","16","Otobi","2013-September-05","2013-August-14","4","5","","25","3","0.8","","","3848","2013_Otobi",""," No ManagementFactor: "
"1627","13AYT60gpumu","Gene pyramiding trial established at Umudike in 2013/2014 planting season.","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-August-23","2014-August-22","4","5","","20","3","0.62","","","2879","2013_Umudike",""," No ManagementFactor: "
"1621","13AYT70mpopfOtobi","AYT Mapping population established at Otobi in 2013/2014 planting season.","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","16","Otobi","2013-July-20","2014-July-23","4","5","","8","2","0.5","","","3848","2013_Otobi",""," No ManagementFactor: "
"1618","13CET261umu","Clonal evaluation trial established at Umudike in 2013/2014 planting season.","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-July-12","2014-June-03","1","5","","23","2","0.7","","","2879","2013_Umudike",""," No ManagementFactor: "
"1600","13CET489tp2umu","Training Population two trial established at Umudike in 2013/2014 planting season.","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-October-25","2014-October-05","1","5","","37","3","1.5","","","2879","2013_Umudike",""," No ManagementFactor: "
"1598","13CET518TP1Otobi","Training Population one trial established at Otobi in 2013/2014 planting season.","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","16","Otobi","2013-September-19","2014-September-22","1","5","","31","3","1.5","","","3848","2013_Otobi",""," No ManagementFactor: "
"1597","13CET518TP1umu","Training Population one trial established at Umudike in 2013/2014 planting season.","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-September-13","2014-September-17","1","5","","38","3","1.5","","","2879","2013_Umudike",""," No ManagementFactor: "
"1626","13PYT144mpopumu","PYT Mapping population D established at Umudike in 2013/2014 planting season","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-July-05","2014-July-09","4","5","","33","2","1.2","","","2879","2013_Umudike",""," No ManagementFactor: "
"1624","13PYT17mpopfumu","PYT Mapping population F established at Umudike in 2013/2014 planting season.","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-July-08","2014-July-11","4","5","","4","2","0.3","","","2879","2013_Umudike",""," No ManagementFactor: "
"1599","13TP1CET518kano","Training Population one trial established at Kano in 2013/2014 planting season.","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","18","Kano","2013-October-02","2014-October-08","1","5","","40","3","1.5","","","3847","2013_Kano",""," No ManagementFactor: "
"603","13UYT12yrtumu","AYT Multilocational trial carried out at Umudike 2013","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-September-20","2014-September-18","6","6","","1","3","0.4","","","5351","2013_14",""," No ManagementFactor: "
"605","13mlt12yrtIG","Multilocational trial carried out at Igbariam","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","15","Igbariam","","","","","","1","3","","","","5351","2013_14",""," No ManagementFactor: "
"1620","13pyt20nr12UM","PYT trial established at Umudike in 2013/2014 planting season.","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","","","","","","10","3","","","","2879","2013_Umudike",""," No ManagementFactor: "
"1619","13uyt15umu","Uniform Yield Trial established at Umudike in 2013/2014 planting season","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2013","Alpha","12","Umudike","2013-November-13","2014-November-13","6","6","","7","4","0.3","","","2879","2013_Umudike",""," No ManagementFactor: "
"199","14CET12Highbetacaroumu","High Beta Carotene Multilocation Trial Established at Umudike in 2014","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","12","Umudike","","","1","5","","3","1","0.3","","","5353","2014_15",""," No ManagementFactor: "
"409","14CET178mpopumu","Genetic Mapping Population B for productivity traits established at Umudike in 2014","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","12","Umudike","2014-August-10","","1","5","","2","1","0.7","","","2874","2014_Umudike",""," No ManagementFactor: "
"3872","14CETtp2set2kano","CET Training population trial established at kano in 2014","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","RCBD","18","Kano","2014-October-27","2015-October-20","1","5","","2","2","1.5","yes","yes","2880","2015_Umudike",""," No ManagementFactor: "
"4946","14CETtp2set2umu","CET Training Population established at Umudike in 2015","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","Alpha","12","Umudike","2014-October-24","2015-October-25","1","5","","2","2","1.5","no","no","2874","2014_Umudike",""," No ManagementFactor: "
"212","14PYT21highbetacaroumu","Evaluation of High Beta Carotene Cassava Genotype at PYT in Umudike in 2014/2015 Planting Season.","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","12","Umudike","","","4","5","","3","1","0.3","","","2874","2014_Umudike",""," No ManagementFactor: "
"211","14PYT25wrtumu","PYT Trial of white Cassava materials established in Umudike in 2014/2015 planting season.","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","12","Umudike","2014-September-26","2015-September-25","4","5","","3","1","0.37","","","2874","2014_Umudike",""," No ManagementFactor: "
"463","14UYT12umu","Plants assayed at Umudike in 2014","Uniform Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","12","Umudike","","","6","6","","4","1","0.5","","","2874","2014_Umudike",""," No ManagementFactor: "
"331","14cCET150umu","Clonal Evaluational Trial established at Umudike in 2014","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","Augmented","12","Umudike","2014-May-27","2015-August-04","1","5","","2","1","0.5","","","2874","2014_Umudike",""," No ManagementFactor: "
"197","14clonal35ctaUM","CTA High Starch Clonal Set A Trial Established at Umudike.","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","12","Umudike","","","","","","3","1","","","","2874","2014_Umudike",""," No ManagementFactor: "
"198","14clonal35ctasetbUM","CTA High Starch Clonal Set B Trial Established at Umudike.","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","12","Umudike","","","","","","3","1","","","","2874","2014_Umudike",""," No ManagementFactor: "
"2820","14highbetacaro12umu","multi-locational trial of high beta carotene cassava genotypes established at Umudike in 2014				","","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","CRD","12","Umudike","","","6","6","","3","1","0.4","","","2874","2014_Umudike",""," No ManagementFactor: "
"2873","14iHighbetacaroIghariam","multi-locational trial of high beta carotene cassava genotypes established at Igbariam in 2014						","","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","15","Igbariam","","","6","6","","3","1","0.4","","","5353","2014_15",""," No ManagementFactor: "
"2875","14tHighBetaCaroOtobi","multi-locational trial of high beta carotene cassava genotypes established at Otobi in 2014						","","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","RCBD","16","Otobi","","","6","6","","3","1","0.4","","","5353","2014_15",""," No ManagementFactor: "
"1997","15CET1tp1set1umu","CET Training population 1 set 1 trial at Umudike in 2015","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2014","CRD","12","Umudike","2014-October-24","2015-October-25","1","5","","23","3","","","","2880","2015_Umudike",""," No ManagementFactor: "
"3743","15CETtp1set2umu","Training population 1 set 2 established at umudike in 2015","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","RCBD","12","Umudike","2015-October-29","2016-November-30","1","5","","2","2","1.5","","","2880","2015_Umudike",""," No ManagementFactor: "
"4355","15CETtp2set1umu","CET Training population established at Umudike in 2015 ","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","Augmented","12","Umudike","2015-November-15","2016-November-14","1","5","","10","2","1.5","no","no","2880","2015_Umudike",""," No ManagementFactor: "
"4512","15TP2set3kano","TP2 SET3 Trial established at kano in 2015","Preliminary Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","RCBD","18","Kano","","","","","","2","3","","no","no","2880","2015_Umudike",""," No ManagementFactor: "
"1653","15ayt11nr13UM","Advance yield trial of NR13 materials established at Umudike.","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","RCBD","12","Umudike","","","","","","3","1","","","","2880","2015_Umudike",""," No ManagementFactor: "
"1660","15ayt12wrtUM","AYT Trial of white Cassava materials established in Umudike in 2015 planting season.","Advanced Yield Trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","RCBD","12","Umudike","","","","","","3","1","","","","2880","2015_Umudike",""," No ManagementFactor: "
"1642","15crossnblk28cgmumu","Crossing Block for CGM studies established at Umudike in 2015","crossing_block_trial","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","Alpha","12","Umudike","2015-May-23","2016-May-04","1","10","","10","3","0.03","","","2880","2015_Umudike",""," No ManagementFactor: "
"1604","15crossnblk60umu","GS Crossing Block 2015, established at Umudike.","","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","CRD","12","Umudike","2015-March-07","","1","10","","1","1","0.2","","","2880","2015_Umudike",""," No ManagementFactor: "
"1631","15nextgen351cgm-amUM","Allele mining and breeding for cassava green mite resistance in Manihot species","Clonal Evaluation","163","NRCRI","NRCRI cassava breeding program, Umudike, Nigeria","2015","Augmented","12","Umudike","","","","","","19","1","","","","2880","2015_Umudike",""," No ManagementFactor: "
